IP,Port,CVE,CVSS_Score,Confidentiality_Impact,Integrity_Impact,Availability_Impact,Access_Complexity,Authentication,Gained_Access,CWE_ID,Exploits,Metasploit,Host_Name,Product,CWE_Description,CWE_URL,CVE_URL
129.25.10.11,7001,,0,,,,,,,,,,dsptchccure.psd.drexel.edu,,,,
129.25.10.117,80,,0,,,,,,,,,,nulab1.physics.drexel.edu,Apache httpd,,,
129.25.10.117,53,,0,,,,,,,,,,nulab1.physics.drexel.edu,,,,
129.25.10.117,21,,0,,,,,,,,,,nulab1.physics.drexel.edu,,,,
129.25.10.117,22,CVE-2019-6111,5.8,None,Partial,Partial,Medium,Not required,None,20,46193,FALSE,nulab1.physics.drexel.edu,OpenSSH,CWE-20: Improper Input Validation,https://cwe.mitre.org/data/definitions/20.html,https://nvd.nist.gov/vuln/detail/CVE-2019-6111
129.25.10.117,22,CVE-2018-15919,5,Partial,None,None,Low,Not required,None,200,,FALSE,nulab1.physics.drexel.edu,OpenSSH,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,https://cwe.mitre.org/data/definitions/200.html,https://nvd.nist.gov/vuln/detail/CVE-2018-15919
129.25.10.117,22,CVE-2018-15473,5,Partial,None,None,Low,Not required,None,200,45210,TRUE,nulab1.physics.drexel.edu,OpenSSH,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,https://cwe.mitre.org/data/definitions/200.html,https://nvd.nist.gov/vuln/detail/CVE-2018-15473
129.25.10.117,22,CVE-2018-15473,5,Partial,None,None,Low,Not required,None,200,45939,TRUE,nulab1.physics.drexel.edu,OpenSSH,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,https://cwe.mitre.org/data/definitions/200.html,https://nvd.nist.gov/vuln/detail/CVE-2018-15473
129.25.10.117,22,CVE-2018-15473,5,Partial,None,None,Low,Not required,None,200,45233,TRUE,nulab1.physics.drexel.edu,OpenSSH,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,https://cwe.mitre.org/data/definitions/200.html,https://nvd.nist.gov/vuln/detail/CVE-2018-15473
129.25.10.117,22,CVE-2017-15906,5,None,Partial,None,Low,Not required,None,269,,FALSE,nulab1.physics.drexel.edu,OpenSSH,CWE-269: Improper Privilege Management,https://cwe.mitre.org/data/definitions/269.html,https://nvd.nist.gov/vuln/detail/CVE-2017-15906
129.25.10.117,22,CVE-2020-14145,0,,,,,,,,,,nulab1.physics.drexel.edu,OpenSSH,,,https://nvd.nist.gov/vuln/detail/CVE-2020-14145
129.25.10.117,22,CVE-2019-6110,4,Partial,Partial,None,High,Not required,None,284,46193,FALSE,nulab1.physics.drexel.edu,OpenSSH,CWE-284: Improper Access Control,https://cwe.mitre.org/data/definitions/284.html,https://nvd.nist.gov/vuln/detail/CVE-2019-6110
129.25.10.117,22,CVE-2019-6109,4,Partial,Partial,None,High,Not required,None,284,,FALSE,nulab1.physics.drexel.edu,OpenSSH,CWE-284: Improper Access Control,https://cwe.mitre.org/data/definitions/284.html,https://nvd.nist.gov/vuln/detail/CVE-2019-6109
129.25.10.117,22,CVE-2018-20685,2.6,None,Partial,None,High,Not required,None,706,,FALSE,nulab1.physics.drexel.edu,OpenSSH,CWE-706: Use of Incorrectly-Resolved Name or Reference,https://cwe.mitre.org/data/definitions/706.html,https://nvd.nist.gov/vuln/detail/CVE-2018-20685
129.25.10.117,443,,0,,,,,,,,,,nulab1.physics.drexel.edu,Apache httpd,,,
129.25.10.118,8000,,0,,,,,,,,,,srvpcanonws.vp-admin.drexel.edu,,,,
129.25.10.118,80,,0,,,,,,,,,,srvpcanonws.vp-admin.drexel.edu,,,,
129.25.10.118,443,,0,,,,,,,,,,srvpcanonws.vp-admin.drexel.edu,Canon printer web interface,,,
129.25.10.118,8443,,0,,,,,,,,,,srvpcanonws.vp-admin.drexel.edu,,,,
129.25.10.139,80,CVE-2017-7679,7.5,Partial,Partial,Partial,Low,Not required,None,119,,FALSE,triangleshare-weekly.student-org.drexel.edu,Apache httpd,CWE-119: Improper Restriction of Operations within the Bounds of a Memory Buffer,https://cwe.mitre.org/data/definitions/119.html,https://nvd.nist.gov/vuln/detail/CVE-2017-7679
129.25.10.139,80,CVE-2017-7668,7.5,Partial,Partial,Partial,Low,Not required,None,20,,FALSE,triangleshare-weekly.student-org.drexel.edu,Apache httpd,CWE-20: Improper Input Validation,https://cwe.mitre.org/data/definitions/20.html,https://nvd.nist.gov/vuln/detail/CVE-2017-7668
129.25.10.139,80,CVE-2017-3169,7.5,Partial,Partial,Partial,Low,Not required,None,476,,FALSE,triangleshare-weekly.student-org.drexel.edu,Apache httpd,CWE-476: NULL Pointer Dereference,https://cwe.mitre.org/data/definitions/476.html,https://nvd.nist.gov/vuln/detail/CVE-2017-3169
